X1,X2,X3,X4,X5,X6
14,0.88648,-0.5,-0.1,0.032505,203.32
2,0.95056,-0.5,-0.1,0.086499,30.613
4,0.92544,-0.5,-0.1,0.084459,37.43
6,0.89882,-0.5,-0.1,0.070567,40.452
8,0.89859,-0.5,-0.1,0.053834,67.034
10,0.89892,-0.5,-0.1,0.039039,148.82
12,0.89909,-0.5,-0.1,0.033628,165.63
14,0.89921,-0.5,-0.1,0.030128,225.17
2,0.93343,-0.5,-0.1,0.11592,20.855
4,0.90947,-0.5,-0.1,0.10044,26.759
6,0.90888,-0.5,-0.1,0.063808,49.203
8,0.90965,-0.5,-0.1,0.048195,99.375
10,0.90788,-0.5,-0.1,0.037408,144.53
12,0.90656,-0.5,-0.1,0.031741,172.87
14,0.90799,-0.5,-0.1,0.026813,293.69
2,0.93999,-0.5,-0.1,0.10559,22.566
4,0.91943,-0.5,-0.1,0.08936,32.166
6,0.91993,-0.5,-0.1,0.056385,67.177
8,0.91871,-0.5,-0.1,0.042993,125.38
10,0.91752,-0.5,-0.1,0.033822,167.72
12,0.91921,-0.5,-0.1,0.027745,212.22
14,0.91506,-0.5,-0.1,0.024771,563.41
2,0.9303,-0.5,-0.1,0.12073,19.025
4,0.92993,-0.5,-0.1,0.07853,41.303
6,0.92987,-0.5,-0.1,0.050794,88.668
8,0.92817,-0.5,-0.1,0.038588,138.42
10,0.92978,-0.5,-0.1,0.027436,267.42
12,0.9277,-0.5,-0.1,0.024262,251.92
14,0.92677,-0.5,-0.1,0.021628,377.05
2,0.93981,-0.5,-0.1,0.10516,23.468
4,0.93953,-0.5,-0.1,0.06777,45.86
6,0.93969,-0.5,-0.1,0.042809,102.57
8,0.93991,-0.5,-0.1,0.031993,176.53
10,0.9389,-0.5,-0.1,0.024785,293.32
12,0.93602,-0.5,-0.1,0.021326,307.05
14,0.93953,-0.5,-0.1,0.017944,567.04
2,0.94997,-0.5,-0.1,0.086868,31.463
4,0.94978,-0.5,-0.1,0.056775,68.191
6,0.94963,-0.5,-0.1,0.035465,166.08
8,0.94964,-0.5,-0.1,0.027598,189.19
10,0.94792,-0.5,-0.1,0.020839,339.61
12,0.94529,-0.5,-0.1,0.018397,525.23
14,0.94622,-0.5,-0.1,0.015813,491.64
2,0.95991,-0.5,-0.1,0.070666,40.352
4,0.95973,-0.5,-0.1,0.045134,88.481
6,0.95892,-0.5,-0.1,0.029655,194.19
8,0.95954,-0.5,-0.1,0.022525,284.37
10,0.95967,-0.5,-0.1,0.015802,362.59
12,0.95839,-0.5,-0.1,0.014797,719.55
14,0.95545,-0.5,-0.1,0.013072,907.54
2,0.94462,-0.1,-0.1,0.10099,26.628
4,0.93066,-0.1,-0.1,0.080524,42.921
6,0.89278,-0.1,-0.1,0.08018,41.648
8,0.85661,-0.1,-0.1,0.080664,34.438
10,0.84299,-0.1,-0.1,0.065624,53.846
12,0.83805,-0.1,-0.1,0.05806,71.398
14,0.83962,-0.1,-0.1,0.05001,78.433
2,0.95441,-0.1,-0.1,0.083169,34.833
4,0.92872,-0.1,-0.1,0.082683,40.83
6,0.89668,-0.1,-0.1,0.077386,42.566
8,0.88718,-0.1,-0.1,0.064065,59.232
